SN,Altitude,Temperature,Humidity,CO2,CO,Air,,AltTest,Tfixed,Hfixed,,Afixed,TempTest,Hfixed2,,Afixed2,Tfixed2,Humtest
299,20,18.5,91,58,3.91,61,,1,25,75,,10,15,75,,10,25,90
300,20,18.5,91,57,3.91,61,,2,25,75,,10,16,75,,10,25,89.5
301,20,18.4,90,57,3.9,61,,3,25,75,,10,17,75,,10,25,89
302,20,18.4,90,57,3.89,61,,4,25,75,,10,18,75,,10,25,88.5
303,20,18.4,91,57,3.9,60,,5,25,75,,10,19,75,,10,25,88
304,20,18.4,90,58,3.9,61,,6,25,75,,10,20,75,,10,25,87.5
305,20,18.4,90,58,3.87,60,,7,25,75,,10,21,75,,10,25,87
306,20,18.2,90,57,3.87,60,,8,25,75,,10,22,75,,10,25,86.5
307,20,18.2,91,57,3.88,61,,9,25,75,,10,23,75,,10,25,86
308,20,18.2,91,58,3.88,61,,10,25,75,,10,24,75,,10,25,85.5
309,20,18.2,91,57,3.87,62,,11,25,75,,10,25,75,,10,25,85
310,20,18.1,91,57,3.88,62,,12,25,75,,10,26,75,,10,25,84.5
311,20,18.2,90,56,3.86,62,,13,25,75,,10,27,75,,10,25,84
312,20,18,91,57,3.85,62,,14,25,75,,10,28,75,,10,25,83.5
313,20,18,92,56,3.85,61,,15,25,75,,10,29,75,,10,25,83
314,20,18.1,90,56,3.85,62,,16,25,75,,10,30,75,,10,25,82.5
315,20,18,90,56,3.85,61,,17,25,75,,10,31,75,,10,25,82
316,20,18.1,90,56,3.86,62,,18,25,75,,10,32,75,,10,25,81.5
317,20,18,91,57,3.86,62,,19,25,75,,10,33,75,,10,25,81
318,20,18,90,57,3.86,63,,20,25,75,,10,34,75,,10,25,80.5
319,30,18,89,57,3.85,63,,21,25,75,,10,35,75,,10,25,80
320,30,17.9,89,57,3.86,63,,22,25,75,,10,36,75,,10,25,79.5
321,30,17.8,89,56,3.87,62,,23,25,75,,10,37,75,,10,25,79
322,30,17.8,89,56,3.87,62,,24,25,75,,10,38,75,,10,25,78.5
323,30,17.8,88,56,3.87,62,,25,25,75,,10,39,75,,10,25,78
324,30,17.8,89,56,3.88,61,,26,25,75,,10,40,75,,10,25,77.5
325,30,17.8,88,57,3.88,61,,27,25,75,,,,,,,,
326,30,17.8,89,56,3.87,61,,28,25,75,,,,,,,,
327,30,17.8,89,56,3.86,60,,29,25,75,,,,,,,,
328,30,17.8,88,55,3.86,60,,30,25,75,,,,,,,,
329,30,17.8,88,55,3.88,59,,31,25,75,,,,,,,,
330,30,17.8,89,55,3.86,59,,32,25,75,,,,,,,,
331,30,17.9,88,54,3.86,59,,33,25,75,,,,,,,,
332,30,17.8,89,54,3.84,59,,34,25,75,,,,,,,,
333,30,17.8,88,55,3.85,58,,35,25,75,,,,,,,,
334,30,17.8,89,52,3.85,58,,36,25,75,,,,,,,,
335,30,17.8,88,53,3.85,58,,37,25,75,,,,,,,,
336,30,17.8,87,54,3.85,59,,38,25,75,,,,,,,,
337,30,17.8,87,54,3.86,58,,39,25,75,,,,,,,,
338,30,17.8,87,54,3.87,58,,40,25,75,,,,,,,,
339,40,17.8,88,55,3.87,58,,41,25,75,,,,,,,,
340,40,17.8,87,54,3.85,58,,42,25,75,,,,,,,,
341,40,17.8,88,54,3.85,59,,43,25,75,,,,,,,,
342,40,17.8,88,54,3.85,58,,44,25,75,,,,,,,,
343,40,17.8,88,56,3.85,58,,45,25,75,,,,,,,,
344,40,17.8,87,56,3.85,57,,46,25,75,,,,,,,,
345,40,17.8,88,56,3.86,57,,47,25,75,,,,,,,,
346,40,17.8,89,56,3.85,57,,48,25,75,,,,,,,,
347,40,17.8,89,56,3.85,59,,49,25,75,,,,,,,,
348,40,17.8,89,57,3.84,59,,50,25,75,,,,,,,,
349,40,17.8,90,57,3.85,58,,51,25,75,,,,,,,,
350,40,17.8,90,57,3.85,57,,52,25,75,,,,,,,,
