SN,Altitude,Temperature,Humidity,CO2,CO,Air,,AltTest,Tfixed,Hfixed,,Afixed,TempTest,Hfixed2,,Afixed2,Tfixed2,Humtest
299,20,19.2,91,51,3.83,60,,1,25,75,,10,15,75,,10,25,90
300,20,19.2,92,51,3.83,60,,2,25,75,,10,16,75,,10,25,89.5
301,20,19.1,92,52,3.83,60,,3,25,75,,10,17,75,,10,25,89
302,20,19,92,51,3.83,60,,4,25,75,,10,18,75,,10,25,88.5
303,20,19,92,52,3.84,61,,5,25,75,,10,19,75,,10,25,88
304,20,19,92,51,3.83,61,,6,25,75,,10,20,75,,10,25,87.5
305,20,19.1,92,51,3.84,61,,7,25,75,,10,21,75,,10,25,87
306,20,19,92,51,3.83,61,,8,25,75,,10,22,75,,10,25,86.5
307,20,19,92,50,3.84,61,,9,25,75,,10,23,75,,10,25,86
308,20,19.2,93,50,3.83,60,,10,25,75,,10,24,75,,10,25,85.5
309,20,19.1,93,50,3.84,60,,11,25,75,,10,25,75,,10,25,85
310,20,19.2,93,52,3.85,60,,12,25,75,,10,26,75,,10,25,84.5
311,20,19.2,92,52,3.85,60,,13,25,75,,10,27,75,,10,25,84
312,20,19.1,93,52,3.85,60,,14,25,75,,10,28,75,,10,25,83.5
313,20,19.1,92,52,3.86,59,,15,25,75,,10,29,75,,10,25,83
314,20,19,92,52,3.86,59,,16,25,75,,10,30,75,,10,25,82.5
315,20,18.9,92,52,3.84,59,,17,25,75,,10,31,75,,10,25,82
316,20,18.8,92,51,3.84,59,,18,25,75,,10,32,75,,10,25,81.5
317,20,18.8,92,52,3.85,58,,19,25,75,,10,33,75,,10,25,81
318,20,18.8,92,51,3.85,58,,20,25,75,,10,34,75,,10,25,80.5
319,30,18.9,92,51,3.84,58,,21,25,75,,10,35,75,,10,25,80
320,30,18.7,92,51,3.83,59,,22,25,75,,10,36,75,,10,25,79.5
321,30,18.7,92,51,3.83,58,,23,25,75,,10,37,75,,10,25,79
322,30,18.7,92,52,3.84,59,,24,25,75,,10,38,75,,10,25,78.5
323,30,18.8,91,52,3.83,58,,25,25,75,,10,39,75,,10,25,78
324,30,18.7,91,52,3.84,59,,26,25,75,,10,40,75,,10,25,77.5
325,30,18.7,91,51,3.83,58,,27,25,75,,,,,,,,
326,30,18.5,91,51,3.84,59,,28,25,75,,,,,,,,
327,30,18.5,91,50,3.83,58,,29,25,75,,,,,,,,
328,30,18.6,92,50,3.84,59,,30,25,75,,,,,,,,
329,30,18.5,92,50,3.83,58,,31,25,75,,,,,,,,
330,30,18.5,92,51,3.84,58,,32,25,75,,,,,,,,
331,30,18.6,92,50,3.85,58,,33,25,75,,,,,,,,
332,30,18.5,92,50,3.86,57,,34,25,75,,,,,,,,
333,30,18.6,92,50,3.86,57,,35,25,75,,,,,,,,
334,30,18.6,92,50,3.84,57,,36,25,75,,,,,,,,
335,30,18.3,92,50,3.84,57,,37,25,75,,,,,,,,
336,30,18.3,92,50,3.83,57,,38,25,75,,,,,,,,
337,30,18.3,92,50,3.83,57,,39,25,75,,,,,,,,
338,30,18.3,92,50,3.83,57,,40,25,75,,,,,,,,
339,40,18.2,92,50,3.82,56,,41,25,75,,,,,,,,
340,40,18,92,50,3.82,56,,42,25,75,,,,,,,,
341,40,18,92,50,3.82,56,,43,25,75,,,,,,,,
342,40,18,92,49,3.81,56,,44,25,75,,,,,,,,
343,40,18,92,49,3.81,56,,45,25,75,,,,,,,,
344,40,18.2,92,50,3.81,56,,46,25,75,,,,,,,,
345,40,18.2,92,50,3.81,56,,47,25,75,,,,,,,,
346,40,18.1,92,49,3.81,57,,48,25,75,,,,,,,,
347,40,18.2,92,49,3.80 ,57,,49,25,75,,,,,,,,
348,40,18.2,92,49,3.80 ,56,,50,25,75,,,,,,,,
349,40,18.1,92,49,3.79,57,,51,25,75,,,,,,,,
350,40,18.2,92,49,3.78,56,,52,25,75,,,,,,,,
351,40,18.3,92,49,3.76,56,,53,25,75,,,,,,,,
352,40,18.2,92,50,3.76,56,,54,25,75,,,,,,,,
353,40,18.3,92,50,3.76,57,,55,25,75,,,,,,,,
354,40,18.3,93,50,3.76,56,,56,25,75,,,,,,,,
355,40,18.3,93,50,3.75,57,,57,25,75,,,,,,,,
356,40,18.2,93,49,3.74,56,,58,25,75,,,,,,,,
357,40,18.2,92,49,3.74,56,,59,25,75,,,,,,,,
358,40,18.2,92,49,3.74,56,,60,25,75,,,,,,,,
359,50,18.3,92,48,3.76,56,,61,25,75,,,,,,,,
360,50,18.2,92,49,3.77,55,,62,25,75,,,,,,,,
361,50,18.2,92,48,3.77,55,,63,25,75,,,,,,,,
362,50,18.3,92,48,3.76,55,,64,25,75,,,,,,,,
363,50,18.2,92,49,3.76,55,,65,25,75,,,,,,,,
364,50,18.2,92,48,3.76,55,,66,25,75,,,,,,,,
365,50,18.3,92,48,3.77,55,,67,25,75,,,,,,,,
366,50,18.3,92,48,3.76,54,,68,25,75,,,,,,,,
367,50,18.2,92,48,3.75,54,,69,25,75,,,,,,,,
368,50,18.3,92,48,3.74,54,,70,25,75,,,,,,,,
369,50,18.4,92,48,3.76,54,,71,25,75,,,,,,,,
370,50,18.4,92,48,3.75,54,,72,25,75,,,,,,,,
371,50,18.4,92,48,3.73,56,,73,25,75,,,,,,,,
372,50,18.5,92,48,3.74,56,,74,25,75,,,,,,,,
373,50,18.5,92,48,3.73,55,,75,25,75,,,,,,,,
374,50,18.5,91,48,3.72,55,,76,25,75,,,,,,,,
375,50,18.5,91,47,3.72,55,,77,25,75,,,,,,,,
376,50,18.5,91,48,3.72,55,,78,25,75,,,,,,,,
377,50,18.6,91,48,3.72,55,,79,25,75,,,,,,,,
378,50,18.6,91,47,3.72,54,,80,25,75,,,,,,,,
379,60,18.5,91,47,3.72,54,,81,25,75,,,,,,,,
380,60,18.7,91,47,3.72,54,,82,25,75,,,,,,,,
381,60,18.7,91,48,3.71,54,,83,25,75,,,,,,,,
382,60,18.7,90,48,3.71,54,,84,25,75,,,,,,,,
383,60,18.7,90,47,3.72,54,,85,25,75,,,,,,,,
384,60,18.8,90,48,3.73,54,,86,25,75,,,,,,,,
385,60,18.8,90,48,3.74,54,,87,25,75,,,,,,,,
386,60,18.6,90,47,3.73,53,,88,25,75,,,,,,,,
387,60,18.6,91,48,3.73,53,,89,25,75,,,,,,,,
388,60,18.4,91,47,3.74,54,,90,25,75,,,,,,,,
389,60,18.4,91,47,3.73,54,,91,25,75,,,,,,,,
390,60,18.4,90,47,3.74,53,,92,25,75,,,,,,,,
391,60,18.4,90,47,3.73,53,,93,25,75,,,,,,,,
392,60,18.3,91,48,3.75,53,,94,25,75,,,,,,,,
393,60,18.3,90,48,3.75,53,,95,25,75,,,,,,,,
394,60,18.3,90,48,3.74,53,,96,25,75,,,,,,,,
395,60,18.3,90,47,3.74,53,,97,25,75,,,,,,,,
396,60,18.4,91,47,3.75,54,,98,25,75,,,,,,,,
397,60,18.4,91,47,3.74,55,,99,25,75,,,,,,,,
398,60,18.3,91,46,3.73,54,,100,25,75,,,,,,,,
399,70,18.4,91,46,3.74,54,,101,25,75,,,,,,,,
400,70,18.4,91,46,3.72,54,,102,25,75,,,,,,,,
401,70,18.3,91,47,3.75,54,,103,25,75,,,,,,,,
402,70,18.2,91,47,3.76,54,,104,25,75,,,,,,,,
403,70,18,90,46,3.75,54,,105,25,75,,,,,,,,
404,70,18,90,46,3.76,54,,106,25,75,,,,,,,,
405,70,18,90,46,3.77,54,,107,25,75,,,,,,,,
406,70,18.1,90,46,3.77,54,,108,25,75,,,,,,,,
407,70,18,91,46,3.77,54,,109,25,75,,,,,,,,
