SN,Altitude,Temperature,Humidity,CO2,CO,Air,,AltTest,Tfixed,Hfixed,,Afixed,TempTest,Hfixed2,,Afixed2,Tfixed2,Humtest
299,20,18.2,93,53,3.81,63,,1,25,75,,10,15,75,,10,25,90
300,20,18.2,93,53,3.81,62,,2,25,75,,10,16,75,,10,25,89.5
301,20,18.2,93,52,3.81,62,,3,25,75,,10,17,75,,10,25,89
302,20,18.1,93,52,3.81,62,,4,25,75,,10,18,75,,10,25,88.5
303,20,18.1,93,52,3.81,62,,5,25,75,,10,19,75,,10,25,88
304,20,18.1,93,52,3.81,62,,6,25,75,,10,20,75,,10,25,87.5
305,20,18.1,93,52,3.81,62,,7,25,75,,10,21,75,,10,25,87
306,20,18,93,52,3.81,63,,8,25,75,,10,22,75,,10,25,86.5
307,20,18,93,52,3.81,62,,9,25,75,,10,23,75,,10,25,86
308,20,18,93,52,3.81,62,,10,25,75,,10,24,75,,10,25,85.5
309,20,18,93,52,3.81,62,,11,25,75,,10,25,75,,10,25,85
310,20,18,93,52,3.81,62,,12,25,75,,10,26,75,,10,25,84.5
311,20,18,93,52,3.81,62,,13,25,75,,10,27,75,,10,25,84
312,20,18,93,52,3.77,61,,14,25,75,,10,28,75,,10,25,83.5
313,20,17.9,92,51,3.81,61,,15,25,75,,10,29,75,,10,25,83
314,20,17.9,92,51,3.81,61,,16,25,75,,10,30,75,,10,25,82.5
315,20,17.9,92,51,3.81,61,,17,25,75,,10,31,75,,10,25,82
316,20,17.9,92,51,3.81,62,,18,25,75,,10,32,75,,10,25,81.5
317,20,17.9,92,51,3.81,62,,19,25,75,,10,33,75,,10,25,81
318,20,17.9,92,51,3.81,63,,20,25,75,,10,34,75,,10,25,80.5
319,30,17.9,92,51,3.81,63,,21,25,75,,10,35,75,,10,25,80
320,30,17.9,92,51,3.81,63,,22,25,75,,10,36,75,,10,25,79.5
321,30,17.9,92,51,3.77,62,,23,25,75,,10,37,75,,10,25,79
322,30,17.9,92,49,3.81,62,,24,25,75,,10,38,75,,10,25,78.5
323,30,17.8,92,50,3.77,62,,25,25,75,,10,39,75,,10,25,78
324,30,17.8,92,51,3.77,61,,26,25,75,,10,40,75,,10,25,77.5
